用户ID,首次购买时间,首次购买年月,注册年月,安装年月,渠道
12389.0,2010-02-22 10:15:00,2010-02-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12390.0,2011-09-21 09:33:00,2011-09-01 00:00:00,2010-02-01 00:00:00,2010-02-01 00:00:00,抖音
12391.0,2010-02-15 10:12:00,2010-02-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,百度
12392.0,2010-04-27 14:04:00,2010-04-01 00:00:00,2010-02-01 00:00:00,2010-01-01 00:00:00,百度
12393.0,2010-10-07 13:49:00,2010-10-01 00:00:00,2010-05-01 00:00:00,2010-05-01 00:00:00,抖音
12394.0,2011-05-06 14:01:00,2011-05-01 00:00:00,2010-07-01 00:00:00,2010-03-01 00:00:00,微信
12395.0,2010-04-16 10:16:00,2010-04-01 00:00:00,2010-02-01 00:00:00,2010-01-01 00:00:00,微信
12396.0,2010-02-03 13:22:00,2010-02-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,微信
12397.0,2011-07-27 14:21:00,2011-07-01 00:00:00,2010-04-01 00:00:00,2010-01-01 00:00:00,微信
12398.0,2011-10-25 10:27:00,2011-10-01 00:00:00,2010-09-01 00:00:00,2010-06-01 00:00:00,抖音
12399.0,2010-03-05 08:45:00,2010-03-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,百度
12400.0,2010-10-21 13:45:00,2010-10-01 00:00:00,2010-10-01 00:00:00,2010-02-01 00:00:00,百度
12401.0,2011-02-09 13:50:00,2011-02-01 00:00:00,2010-05-01 00:00:00,2010-04-01 00:00:00,百度
12402.0,2010-02-07 12:41:00,2010-02-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12403.0,2010-07-06 11:39:00,2010-07-01 00:00:00,2010-05-01 00:00:00,2010-01-01 00:00:00,微信
12404.0,2010-01-26 16:25:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12405.0,2011-07-14 08:52:00,2011-07-01 00:00:00,2010-03-01 00:00:00,2010-02-01 00:00:00,微信
12406.0,2010-01-11 14:04:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,抖音
12407.0,2011-03-20 13:21:00,2011-03-01 00:00:00,2010-04-01 00:00:00,2010-01-01 00:00:00,微信
12408.0,2010-07-29 13:27:00,2010-07-01 00:00:00,2010-03-01 00:00:00,2010-01-01 00:00:00,抖音
12409.0,2010-05-23 15:21:00,2010-05-01 00:00:00,2010-05-01 00:00:00,2010-02-01 00:00:00,微信
12410.0,2010-07-25 13:26:00,2010-07-01 00:00:00,2010-02-01 00:00:00,2010-02-01 00:00:00,微信
12411.0,2010-10-26 09:25:00,2010-10-01 00:00:00,2010-08-01 00:00:00,2010-06-01 00:00:00,百度
12412.0,2010-06-18 13:22:00,2010-06-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,抖音
12413.0,2010-11-02 13:26:00,2010-11-01 00:00:00,2010-02-01 00:00:00,2009-12-01 00:00:00,百度
12414.0,2010-09-02 12:22:00,2010-09-01 00:00:00,2010-02-01 00:00:00,2010-02-01 00:00:00,百度
12415.0,2010-06-30 08:30:00,2010-06-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12416.0,2010-02-21 10:19:00,2010-02-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,百度
12417.0,2009-12-06 10:30:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12418.0,2010-03-19 14:47:00,2010-03-01 00:00:00,2010-03-01 00:00:00,2010-01-01 00:00:00,百度
12419.0,2010-10-22 10:40:00,2010-10-01 00:00:00,2010-03-01 00:00:00,2010-01-01 00:00:00,微信
12420.0,2011-10-07 08:55:00,2011-10-01 00:00:00,2011-01-01 00:00:00,2010-08-01 00:00:00,抖音
12421.0,2010-07-22 13:57:00,2010-07-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,百度
12422.0,2009-12-18 12:44:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12423.0,2010-08-31 09:31:00,2010-08-01 00:00:00,2010-05-01 00:00:00,2010-05-01 00:00:00,百度
12424.0,2010-06-09 15:15:00,2010-06-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,抖音
12425.0,2010-09-17 14:10:00,2010-09-01 00:00:00,2010-09-01 00:00:00,2010-01-01 00:00:00,微信
12426.0,2010-02-15 08:41:00,2010-02-01 00:00:00,2010-02-01 00:00:00,2009-12-01 00:00:00,微信
12427.0,2010-12-03 10:44:00,2010-12-01 00:00:00,2010-07-01 00:00:00,2010-03-01 00:00:00,微信
12428.0,2011-03-01 09:33:00,2011-03-01 00:00:00,2010-08-01 00:00:00,2010-05-01 00:00:00,抖音
12429.0,2010-06-11 13:28:00,2010-06-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,百度
12430.0,2011-10-27 15:09:00,2011-10-01 00:00:00,2010-03-01 00:00:00,2009-12-01 00:00:00,百度
12431.0,2010-01-15 09:04:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,抖音
12432.0,2011-06-20 13:27:00,2011-06-01 00:00:00,2010-02-01 00:00:00,2009-12-01 00:00:00,百度
12433.0,2010-08-20 09:23:00,2010-08-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12434.0,2010-11-23 13:38:00,2010-11-01 00:00:00,2010-03-01 00:00:00,2009-12-01 00:00:00,抖音
12435.0,2009-12-02 13:58:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12436.0,2011-09-01 12:09:00,2011-09-01 00:00:00,2010-04-01 00:00:00,2010-04-01 00:00:00,百度
12437.0,2009-12-02 16:24:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12438.0,2011-07-22 13:29:00,2011-07-01 00:00:00,2010-09-01 00:00:00,2010-08-01 00:00:00,百度
12439.0,2009-12-14 08:40:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12440.0,2009-12-22 12:03:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12441.0,2010-12-08 10:45:00,2010-12-01 00:00:00,2010-04-01 00:00:00,2009-12-01 00:00:00,百度
12442.0,2011-12-06 14:22:00,2011-12-01 00:00:00,2011-03-01 00:00:00,2010-09-01 00:00:00,微信
12443.0,2009-12-07 15:42:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12444.0,2011-06-21 14:00:00,2011-06-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,抖音
12445.0,2010-10-15 12:28:00,2010-10-01 00:00:00,2010-02-01 00:00:00,2010-02-01 00:00:00,百度
12446.0,2011-10-13 12:50:00,2011-10-01 00:00:00,2011-02-01 00:00:00,2011-01-01 00:00:00,抖音
12447.0,2011-04-10 13:25:00,2011-04-01 00:00:00,2010-06-01 00:00:00,2010-06-01 00:00:00,微信
12448.0,2011-10-26 13:46:00,2011-10-01 00:00:00,2011-05-01 00:00:00,2010-03-01 00:00:00,百度
12449.0,2010-09-27 09:37:00,2010-09-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,百度
12450.0,2010-08-22 13:11:00,2010-08-01 00:00:00,2010-05-01 00:00:00,2010-04-01 00:00:00,百度
12451.0,2010-06-28 12:58:00,2010-06-01 00:00:00,2010-04-01 00:00:00,2010-02-01 00:00:00,抖音
12452.0,2011-11-23 08:05:00,2011-11-01 00:00:00,2010-03-01 00:00:00,2010-03-01 00:00:00,百度
12453.0,2011-07-28 14:08:00,2011-07-01 00:00:00,2011-05-01 00:00:00,2010-09-01 00:00:00,微信
12454.0,2010-10-14 17:33:00,2010-10-01 00:00:00,2010-05-01 00:00:00,2010-04-01 00:00:00,微信
12455.0,2009-12-18 12:33:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12456.0,2011-03-30 09:12:00,2011-03-01 00:00:00,2010-02-01 00:00:00,2010-01-01 00:00:00,抖音
12457.0,2010-09-30 17:59:00,2010-09-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,百度
12458.0,2010-08-09 10:33:00,2010-08-01 00:00:00,2010-07-01 00:00:00,2009-12-01 00:00:00,抖音
12459.0,2010-04-13 14:53:00,2010-04-01 00:00:00,2010-04-01 00:00:00,2009-12-01 00:00:00,抖音
12460.0,2010-09-09 13:51:00,2010-09-01 00:00:00,2010-08-01 00:00:00,2010-06-01 00:00:00,微信
12461.0,2011-07-08 10:23:00,2011-07-01 00:00:00,2010-10-01 00:00:00,2010-08-01 00:00:00,微信
12462.0,2011-02-09 14:44:00,2011-02-01 00:00:00,2010-12-01 00:00:00,2009-12-01 00:00:00,微信
12463.0,2011-04-12 12:47:00,2011-04-01 00:00:00,2010-05-01 00:00:00,2010-05-01 00:00:00,微信
12464.0,2011-02-03 13:30:00,2011-02-01 00:00:00,2011-02-01 00:00:00,2009-12-01 00:00:00,百度
12465.0,2011-06-23 13:37:00,2011-06-01 00:00:00,2010-09-01 00:00:00,2010-07-01 00:00:00,微信
12466.0,2010-01-26 16:26:00,2010-01-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12467.0,2010-10-12 15:41:00,2010-10-01 00:00:00,2010-09-01 00:00:00,2010-01-01 00:00:00,抖音
12468.0,2010-01-26 10:09:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,百度
12469.0,2010-06-21 10:30:00,2010-06-01 00:00:00,2010-06-01 00:00:00,2009-12-01 00:00:00,微信
12470.0,2010-01-19 11:01:00,2010-01-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12471.0,2009-12-07 10:41:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12472.0,2009-12-14 10:49:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12473.0,2011-06-01 10:15:00,2011-06-01 00:00:00,2010-08-01 00:00:00,2010-08-01 00:00:00,抖音
12474.0,2010-02-11 09:41:00,2010-02-01 00:00:00,2010-02-01 00:00:00,2009-12-01 00:00:00,百度
12475.0,2010-10-26 08:49:00,2010-10-01 00:00:00,2010-03-01 00:00:00,2010-02-01 00:00:00,抖音
12476.0,2010-07-26 09:04:00,2010-07-01 00:00:00,2010-05-01 00:00:00,2010-02-01 00:00:00,抖音
12477.0,2010-03-26 14:01:00,2010-03-01 00:00:00,2010-03-01 00:00:00,2010-03-01 00:00:00,微信
12478.0,2011-12-06 09:56:00,2011-12-01 00:00:00,2011-05-01 00:00:00,2010-07-01 00:00:00,抖音
12479.0,2011-11-28 13:26:00,2011-11-01 00:00:00,2011-09-01 00:00:00,2010-10-01 00:00:00,百度
12480.0,2010-07-20 13:21:00,2010-07-01 00:00:00,2010-03-01 00:00:00,2010-02-01 00:00:00,抖音
12481.0,2010-04-11 13:10:00,2010-04-01 00:00:00,2010-02-01 00:00:00,2010-01-01 00:00:00,百度
12482.0,2010-02-24 10:24:00,2010-02-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12483.0,2010-01-31 13:28:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12484.0,2010-01-27 16:41:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12485.0,2010-06-28 15:22:00,2010-06-01 00:00:00,2010-06-01 00:00:00,2010-05-01 00:00:00,百度
12486.0,2010-10-04 12:14:00,2010-10-01 00:00:00,2010-05-01 00:00:00,2010-01-01 00:00:00,微信
12487.0,2009-12-09 11:36:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12488.0,2011-09-25 10:34:00,2011-09-01 00:00:00,2010-06-01 00:00:00,2010-03-01 00:00:00,抖音
12489.0,2011-01-07 13:13:00,2011-01-01 00:00:00,2010-06-01 00:00:00,2010-03-01 00:00:00,微信
12490.0,2009-12-01 12:52:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12491.0,2011-11-01 12:18:00,2011-11-01 00:00:00,2010-05-01 00:00:00,2009-12-01 00:00:00,百度
12492.0,2010-11-01 14:58:00,2010-11-01 00:00:00,2010-07-01 00:00:00,2010-06-01 00:00:00,微信
12493.0,2011-05-26 14:53:00,2011-05-01 00:00:00,2010-08-01 00:00:00,2010-04-01 00:00:00,百度
12494.0,2010-05-12 13:52:00,2010-05-01 00:00:00,2010-03-01 00:00:00,2010-02-01 00:00:00,百度
12495.0,2010-03-09 10:53:00,2010-03-01 00:00:00,2010-03-01 00:00:00,2010-03-01 00:00:00,抖音
12496.0,2010-03-29 13:57:00,2010-03-01 00:00:00,2010-02-01 00:00:00,2010-02-01 00:00:00,百度
12497.0,2010-03-05 09:39:00,2010-03-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12498.0,2011-10-13 09:30:00,2011-10-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12499.0,2010-05-28 15:12:00,2010-05-01 00:00:00,2010-03-01 00:00:00,2010-02-01 00:00:00,抖音
12500.0,2010-02-04 15:05:00,2010-02-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12501.0,2011-01-07 12:28:00,2011-01-01 00:00:00,2010-09-01 00:00:00,2010-03-01 00:00:00,抖音
12502.0,2011-02-03 10:41:00,2011-02-01 00:00:00,2010-10-01 00:00:00,2010-08-01 00:00:00,微信
12503.0,2010-05-04 13:59:00,2010-05-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12504.0,2010-04-22 10:24:00,2010-04-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,微信
12505.0,2010-10-27 09:18:00,2010-10-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12506.0,2011-04-21 08:54:00,2011-04-01 00:00:00,2010-08-01 00:00:00,2010-01-01 00:00:00,微信
12507.0,2010-05-04 09:23:00,2010-05-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,百度
12508.0,2011-11-10 16:27:00,2011-11-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,微信
12509.0,2011-02-28 14:45:00,2011-02-01 00:00:00,2010-10-01 00:00:00,2010-05-01 00:00:00,微信
12510.0,2009-12-04 13:47:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12511.0,2010-10-07 10:39:00,2010-10-01 00:00:00,2010-06-01 00:00:00,2010-05-01 00:00:00,微信
12512.0,2011-10-04 14:53:00,2011-10-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12513.0,2011-08-19 10:51:00,2011-08-01 00:00:00,2010-11-01 00:00:00,2010-07-01 00:00:00,抖音
12514.0,2010-03-08 12:18:00,2010-03-01 00:00:00,2010-03-01 00:00:00,2010-03-01 00:00:00,百度
12515.0,2010-12-21 15:43:00,2010-12-01 00:00:00,2010-07-01 00:00:00,2010-01-01 00:00:00,微信
12516.0,2010-04-19 14:14:00,2010-04-01 00:00:00,2010-02-01 00:00:00,2010-02-01 00:00:00,百度
12517.0,2011-06-02 15:13:00,2011-06-01 00:00:00,2011-04-01 00:00:00,2010-11-01 00:00:00,微信
12518.0,2011-08-21 13:18:00,2011-08-01 00:00:00,2010-03-01 00:00:00,2010-02-01 00:00:00,微信
12519.0,2010-08-20 08:21:00,2010-08-01 00:00:00,2010-05-01 00:00:00,2010-03-01 00:00:00,抖音
12520.0,2011-03-11 11:35:00,2011-03-01 00:00:00,2011-01-01 00:00:00,2010-11-01 00:00:00,抖音
12521.0,2011-07-20 10:51:00,2011-07-01 00:00:00,2010-04-01 00:00:00,2010-01-01 00:00:00,百度
12522.0,2011-10-19 14:41:00,2011-10-01 00:00:00,2011-10-01 00:00:00,2011-08-01 00:00:00,微信
12523.0,2009-12-07 13:46:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12524.0,2010-02-08 14:41:00,2010-02-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12525.0,2010-03-02 14:01:00,2010-03-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12526.0,2011-09-06 14:19:00,2011-09-01 00:00:00,2011-08-01 00:00:00,2010-02-01 00:00:00,百度
12527.0,2010-06-28 15:37:00,2010-06-01 00:00:00,2010-02-01 00:00:00,2009-12-01 00:00:00,百度
12528.0,2011-01-31 09:05:00,2011-01-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12529.0,2010-06-29 13:10:00,2010-06-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12530.0,2010-03-07 14:37:00,2010-03-01 00:00:00,2010-03-01 00:00:00,2010-02-01 00:00:00,百度
12531.0,2010-01-22 14:17:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,微信
12532.0,2011-11-09 13:47:00,2011-11-01 00:00:00,2011-04-01 00:00:00,2010-06-01 00:00:00,抖音
12533.0,2009-12-01 11:50:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12534.0,2011-08-01 10:26:00,2011-08-01 00:00:00,2010-04-01 00:00:00,2010-02-01 00:00:00,抖音
12535.0,2011-06-06 12:47:00,2011-06-01 00:00:00,2010-09-01 00:00:00,2010-07-01 00:00:00,抖音
12536.0,2011-10-11 14:52:00,2011-10-01 00:00:00,2011-01-01 00:00:00,2010-10-01 00:00:00,百度
12537.0,2010-10-27 08:36:00,2010-10-01 00:00:00,2010-08-01 00:00:00,2010-08-01 00:00:00,微信
12538.0,2010-11-26 13:02:00,2010-11-01 00:00:00,2010-04-01 00:00:00,2010-04-01 00:00:00,百度
12539.0,2009-12-23 13:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12540.0,2009-12-07 16:56:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12541.0,2011-03-04 09:32:00,2011-03-01 00:00:00,2010-09-01 00:00:00,2009-12-01 00:00:00,微信
12542.0,2010-03-09 16:26:00,2010-03-01 00:00:00,2010-02-01 00:00:00,2010-01-01 00:00:00,微信
12543.0,2010-09-17 15:51:00,2010-09-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12544.0,2011-11-03 16:15:00,2011-11-01 00:00:00,2010-02-01 00:00:00,2010-02-01 00:00:00,抖音
12545.0,2011-03-25 12:04:00,2011-03-01 00:00:00,2010-12-01 00:00:00,2010-11-01 00:00:00,微信
12546.0,2011-09-23 09:44:00,2011-09-01 00:00:00,2010-09-01 00:00:00,2010-09-01 00:00:00,百度
12547.0,2010-07-27 13:55:00,2010-07-01 00:00:00,2010-06-01 00:00:00,2010-04-01 00:00:00,百度
12548.0,2011-06-26 15:35:00,2011-06-01 00:00:00,2010-12-01 00:00:00,2010-11-01 00:00:00,微信
12549.0,2010-01-11 12:29:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12550.0,2011-09-21 14:35:00,2011-09-01 00:00:00,2011-09-01 00:00:00,2011-05-01 00:00:00,百度
12551.0,2010-12-17 11:23:00,2010-12-01 00:00:00,2010-11-01 00:00:00,2009-12-01 00:00:00,抖音
12552.0,2011-10-31 12:11:00,2011-10-01 00:00:00,2011-04-01 00:00:00,2010-05-01 00:00:00,微信
12553.0,2010-10-12 13:35:00,2010-10-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12554.0,2010-09-17 12:29:00,2010-09-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12555.0,2010-01-26 16:26:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,抖音
12556.0,2011-07-11 13:35:00,2011-07-01 00:00:00,2011-03-01 00:00:00,2011-01-01 00:00:00,微信
12557.0,2009-12-17 10:39:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12558.0,2011-12-02 10:41:00,2011-12-01 00:00:00,2011-03-01 00:00:00,2011-02-01 00:00:00,抖音
12559.0,2011-01-24 10:12:00,2011-01-01 00:00:00,2010-08-01 00:00:00,2010-03-01 00:00:00,微信
12560.0,2011-07-19 15:55:00,2011-07-01 00:00:00,2011-04-01 00:00:00,2011-03-01 00:00:00,抖音
12561.0,2011-02-10 11:39:00,2011-02-01 00:00:00,2010-04-01 00:00:00,2009-12-01 00:00:00,抖音
12562.0,2010-09-30 13:13:00,2010-09-01 00:00:00,2010-07-01 00:00:00,2009-12-01 00:00:00,抖音
12563.0,2010-10-27 09:52:00,2010-10-01 00:00:00,2010-03-01 00:00:00,2010-03-01 00:00:00,微信
12564.0,2011-03-23 14:55:00,2011-03-01 00:00:00,2010-05-01 00:00:00,2010-05-01 00:00:00,百度
12565.0,2011-02-24 10:34:00,2011-02-01 00:00:00,2010-11-01 00:00:00,2010-09-01 00:00:00,抖音
12566.0,2011-09-14 14:30:00,2011-09-01 00:00:00,2010-11-01 00:00:00,2010-06-01 00:00:00,抖音
12567.0,2010-02-11 10:30:00,2010-02-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12568.0,2010-03-05 09:15:00,2010-03-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12569.0,2011-04-01 13:47:00,2011-04-01 00:00:00,2010-10-01 00:00:00,2009-12-01 00:00:00,百度
12570.0,2010-01-26 17:28:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,抖音
12571.0,2011-08-10 12:35:00,2011-08-01 00:00:00,2010-12-01 00:00:00,2009-12-01 00:00:00,百度
12572.0,2011-10-19 08:20:00,2011-10-01 00:00:00,2010-05-01 00:00:00,2010-01-01 00:00:00,抖音
12573.0,2010-08-31 17:25:00,2010-08-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,抖音
12574.0,2011-01-28 09:20:00,2011-01-01 00:00:00,2010-10-01 00:00:00,2009-12-01 00:00:00,微信
12575.0,2010-07-01 09:15:00,2010-07-01 00:00:00,2010-02-01 00:00:00,2010-01-01 00:00:00,抖音
12576.0,2010-07-01 13:46:00,2010-07-01 00:00:00,2010-05-01 00:00:00,2010-02-01 00:00:00,抖音
12577.0,2009-12-03 19:31:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
