店铺id,城市,销售渠道,性别,年龄段,消费时间,产品名称,客户数量,销售金额,订单数量,产品数量,单件成本
146,杭州,线下,Male,35-39,Weekday,当季新品,1,75.0,1,1,59
207,上海,线上,Female,20-24,Weekend,T恤,1,99.0,1,1,49
32,武汉,线上,Female,50-54,Weekend,T恤,1,99.0,1,1,49
46,武汉,线下,Male,>=60,Weekend,短裤,1,33.0,1,1,19
611,深圳,线下,Female,25-29,Weekday,短裤,1,33.0,1,1,19
325,上海,线下,Female,50-54,Weekend,当季新品,1,79.0,1,1,59
430,成都,线下,Male,35-39,Weekend,裙子,1,79.0,1,1,59
315,武汉,线下,Female,35-39,Weekend,T恤,1,99.0,1,1,49
208,重庆,线下,Female,30-34,Weekend,当季新品,1,199.0,1,1,59
248,杭州,线下,Female,>=60,Weekend,配件,1,78.0,1,1,29
648,西安,线下,Male,25-29,Weekend,T恤,1,79.0,1,1,49
737,深圳,线下,Female,30-34,Weekday,短裤,2,66.0,2,2,19
737,深圳,线下,Female,30-34,Weekday,短裤,1,79.0,1,1,19
758,杭州,线下,Female,30-34,Weekend,T恤,1,99.0,1,1,49
19,南京,线下,Female,35-39,Weekend,T恤,2,197.0,2,2,49
437,重庆,线下,Female,>=60,Weekday,牛仔裤,1,199.0,1,1,69
737,深圳,线下,Female,20-24,Weekday,T恤,2,257.0,2,3,49
208,重庆,线下,Female,20-24,Weekday,T恤,1,59.0,1,1,49
315,武汉,线下,Female,20-24,Weekend,毛衣,1,199.0,1,1,99
280,深圳,线下,Female,30-34,Weekday,T恤,1,79.0,1,1,49
335,上海,线下,Female,35-39,Weekend,配件,1,149.0,1,1,29
148,深圳,线下,Female,30-34,Weekday,T恤,1,58.0,1,1,49
831,杭州,线下,Male,30-34,Weekday,T恤,1,79.0,1,1,49
758,杭州,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
335,上海,线下,Female,30-34,Weekday,短裤,1,33.0,1,1,19
256,武汉,线下,Male,25-29,Weekday,当季新品,1,57.0,1,1,59
649,杭州,线下,Male,20-24,Weekday,T恤,1,79.0,1,1,49
479,深圳,线下,Male,>=60,Weekday,T恤,1,79.0,1,1,49
480,重庆,线下,Female,20-24,Weekday,T恤,1,39.0,1,1,49
231,广州,线下,Female,>=60,Weekend,毛衣,1,0.0,1,1,99
437,重庆,线下,Unkown,Unkown,Weekend,T恤,1,99.0,1,1,49
758,杭州,线下,Female,40-44,Weekday,当季新品,1,75.0,1,1,59
802,西安,线下,Male,>=60,Weekday,T恤,1,59.0,1,1,49
312,杭州,线下,Male,35-39,Weekend,袜子,2,79.0,2,4,9
323,武汉,线下,Female,25-29,Weekday,T恤,2,134.33,2,2,49
168,武汉,线下,Male,25-29,Weekday,袜子,1,79.0,1,1,9
98,成都,线下,Male,30-34,Weekday,T恤,1,498.0,1,2,49
20,深圳,线下,Female,20-24,Weekday,T恤,2,158.0,2,2,49
399,广州,线下,Female,35-39,Weekday,当季新品,1,76.0,1,1,59
52,武汉,线上,Male,40-44,Weekday,当季新品,1,79.0,1,1,59
442,西安,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
50,武汉,线上,Female,25-29,Weekend,T恤,1,79.0,1,1,49
312,杭州,线下,Male,30-34,Weekend,T恤,1,99.0,1,1,49
796,深圳,线下,Female,55-59,Weekday,短裤,1,40.0,1,1,19
360,成都,线下,Female,25-29,Weekday,T恤,1,79.0,1,1,49
20,深圳,线下,Female,35-39,Weekend,T恤,2,156.0,2,2,49
208,重庆,线下,Female,30-34,Weekday,牛仔裤,2,77.0,2,2,69
91,武汉,线上,Male,>=60,Weekday,当季新品,1,49.0,1,1,59
20,深圳,线下,Female,30-34,Weekday,当季新品,1,76.0,1,1,59
182,广州,线上,Female,35-39,Weekday,T恤,2,158.0,2,2,49
437,重庆,线下,Male,20-24,Weekend,当季新品,1,99.0,1,1,59
496,上海,线下,Female,20-24,Weekend,袜子,1,79.0,1,1,9
146,杭州,线下,Female,>=60,Weekday,T恤,1,39.0,1,1,49
255,杭州,线下,Male,35-39,Weekday,当季新品,2,391.0,2,2,59
369,广州,线下,Male,30-34,Weekend,T恤,1,99.0,1,1,49
68,重庆,线上,Female,25-29,Weekday,T恤,1,79.0,1,1,49
420,广州,线上,Female,20-24,Weekend,T恤,2,118.0,2,2,49
137,西安,线上,Female,35-39,Weekday,T恤,2,78.0,2,2,49
648,西安,线下,Female,30-34,Weekday,当季新品,1,54.0,1,1,59
98,成都,线下,Female,45-49,Weekend,当季新品,1,139.0,1,1,59
256,武汉,线下,Female,30-34,Weekday,运动,1,39.0,1,1,49
737,深圳,线下,Female,30-34,Weekend,袜子,2,40.0,2,2,9
248,杭州,线下,Male,20-24,Weekend,T恤,1,199.0,1,1,49
335,上海,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
479,深圳,线下,Male,20-24,Weekend,T恤,1,79.0,1,1,49
52,武汉,线上,Female,25-29,Weekend,T恤,3,397.0,3,3,49
70,深圳,线下,Male,40-44,Weekend,T恤,1,59.0,1,1,49
46,武汉,线下,Male,50-54,Weekend,T恤,1,99.0,1,1,49
229,深圳,线下,Female,50-54,Weekend,T恤,1,198.0,1,2,49
50,武汉,线上,Male,>=60,Weekend,袜子,1,27.0,1,1,9
312,杭州,线下,Female,>=60,Weekday,T恤,2,158.0,2,2,49
146,杭州,线下,Female,30-34,Weekday,袜子,1,39.0,1,1,9
182,广州,线上,Female,30-34,Weekday,牛仔裤,1,38.0,1,1,69
248,杭州,线下,Female,30-34,Weekday,裙子,1,199.0,1,1,59
336,西安,线下,Female,45-49,Weekend,配件,1,79.0,1,1,29
658,深圳,线下,Unkown,Unkown,Weekday,袜子,1,79.0,1,1,9
336,西安,线下,Female,25-29,Weekday,短裤,1,39.0,1,1,19
146,杭州,线下,Female,20-24,Weekend,袜子,2,58.0,2,2,9
575,杭州,线下,Male,25-29,Weekend,T恤,1,79.0,1,1,49
325,上海,线下,Female,45-49,Weekday,牛仔裤,1,199.0,1,1,69
231,广州,线下,Female,40-44,Weekend,T恤,1,59.0,1,1,49
796,深圳,线下,Female,35-39,Weekend,T恤,1,59.0,1,1,49
229,深圳,线下,Female,20-24,Weekend,T恤,1,95.0,1,1,49
229,深圳,线下,Female,45-49,Weekend,配件,2,138.0,2,2,29
137,西安,线上,Male,35-39,Weekday,T恤,1,79.0,1,1,49
208,重庆,线下,Female,30-34,Weekday,裙子,2,391.0,2,2,59
496,上海,线下,Male,25-29,Weekday,当季新品,1,79.0,1,1,59
256,武汉,线下,Female,30-34,Weekend,配件,1,79.0,1,1,29
738,深圳,线下,Female,>=60,Weekday,T恤,1,79.0,1,1,49
336,西安,线下,Female,20-24,Weekday,袜子,1,27.0,1,1,9
616,成都,线下,Female,35-39,Weekday,牛仔裤,1,59.0,1,1,69
449,武汉,线下,Female,30-34,Weekday,T恤,1,158.0,1,2,49
429,西安,线下,Female,25-29,Weekend,T恤,1,99.0,1,1,49
255,杭州,线下,Male,25-29,Weekday,当季新品,1,54.0,1,1,59
256,武汉,线下,Female,50-54,Weekday,T恤,1,156.0,1,2,49
519,杭州,线下,Female,45-49,Weekday,短裤,1,37.0,1,1,19
207,上海,线上,Female,35-39,Weekday,牛仔裤,1,39.0,1,1,69
399,广州,线下,Female,40-44,Weekday,T恤,1,249.0,1,1,49
658,深圳,线下,Female,45-49,Weekend,T恤,1,99.0,1,1,49
611,深圳,线下,Female,50-54,Weekday,袜子,1,79.0,1,1,9
255,杭州,线下,Male,25-29,Weekday,短裤,1,33.0,1,1,19
20,深圳,线下,Female,30-34,Weekday,袜子,1,66.0,1,3,9
135,上海,线下,Female,30-34,Weekend,T恤,4,646.0,4,4,49
98,成都,线下,Female,30-34,Weekend,T恤,1,99.0,1,1,49
796,深圳,线下,Female,55-59,Weekday,T恤,1,99.0,1,1,49
148,深圳,线下,Female,<20,Weekday,T恤,1,59.0,1,1,49
146,杭州,线下,Male,25-29,Weekday,袜子,1,26.0,1,1,9
479,深圳,线下,Male,>=60,Weekday,短裤,1,39.0,1,1,19
429,西安,线下,Male,20-24,Weekday,T恤,3,157.0,3,3,49
28,武汉,线上,Male,25-29,Weekday,T恤,2,198.0,2,2,49
658,深圳,线下,Female,30-34,Weekend,袜子,1,18.0,1,1,9
146,杭州,线下,Female,25-29,Weekend,T恤,2,158.0,2,2,49
336,西安,线下,Female,40-44,Weekend,当季新品,1,79.0,1,1,59
399,广州,线下,Male,50-54,Weekday,短裤,1,38.0,1,1,19
335,上海,线下,Male,35-39,Weekend,当季新品,1,73.0,1,1,59
335,上海,线下,Male,>=60,Weekend,T恤,2,217.0,2,3,49
280,深圳,线下,Male,20-24,Weekday,T恤,1,59.0,1,1,49
182,广州,线上,Female,25-29,Weekend,运动,1,149.0,1,1,49
658,深圳,线下,Female,20-24,Weekday,配件,1,298.0,1,2,29
738,深圳,线下,Female,55-59,Weekday,当季新品,1,76.0,1,1,59
21,北京,线下,Female,35-39,Weekday,毛衣,3,447.0,3,3,99
429,西安,线下,Female,30-34,Weekend,运动,1,39.0,1,1,49
148,深圳,线下,Female,<20,Weekend,T恤,1,99.0,1,1,49
32,武汉,线上,Female,25-29,Weekend,T恤,2,198.0,2,2,49
245,杭州,线下,Female,20-24,Weekend,当季新品,1,149.0,1,1,59
70,深圳,线下,Female,20-24,Weekday,T恤,1,99.0,1,1,49
519,杭州,线下,Female,45-49,Weekday,配件,1,79.0,1,1,29
21,北京,线下,Female,45-49,Weekend,配件,1,149.0,1,1,29
98,成都,线下,Male,45-49,Weekday,袜子,1,39.0,1,2,9
70,深圳,线下,Female,30-34,Weekend,袜子,1,153.0,1,6,9
738,深圳,线下,Male,30-34,Weekday,当季新品,7,1405.55,8,8,59
256,武汉,线下,Male,>=60,Weekday,袜子,1,39.0,1,2,9
20,深圳,线下,Male,>=60,Weekday,T恤,3,292.82,3,3,49
375,广州,线上,Male,30-34,Weekday,毛衣,3,547.0,3,3,99
437,重庆,线下,Male,45-49,Weekday,配件,1,79.0,1,1,29
20,深圳,线下,Male,25-29,Weekday,牛仔裤,1,39.0,1,1,69
52,武汉,线上,Female,40-44,Weekday,T恤,1,79.0,1,1,49
19,南京,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
480,重庆,线下,Male,25-29,Weekend,袜子,1,53.0,1,2,9
207,上海,线上,Male,30-34,Weekday,T恤,1,99.0,1,1,49
248,杭州,线下,Female,35-39,Weekday,配件,5,395.0,5,5,29
207,上海,线上,Female,50-54,Weekday,配件,1,115.62,1,2,29
248,杭州,线下,Male,30-34,Weekday,当季新品,2,136.0,2,2,59
245,杭州,线下,Female,30-34,Weekday,当季新品,1,79.0,1,1,59
135,上海,线下,Female,30-34,Weekday,袜子,2,66.0,2,3,9
738,深圳,线下,Male,30-34,Weekend,T恤,1,79.0,1,1,49
255,杭州,线下,Female,<20,Weekday,短裤,1,33.0,1,1,19
360,成都,线下,Female,30-34,Weekday,裙子,3,447.0,3,3,59
229,深圳,线下,Female,20-24,Weekday,袜子,1,59.0,1,1,9
758,杭州,线下,Female,20-24,Weekday,配件,1,199.0,1,1,29
280,深圳,线下,Female,20-24,Weekend,T恤,2,198.0,2,2,49
208,重庆,线下,Male,20-24,Weekend,T恤,1,99.0,1,1,49
98,成都,线下,Male,25-29,Weekend,T恤,1,99.0,1,1,49
146,杭州,线下,Male,<20,Weekday,裙子,3,447.0,3,3,59
231,广州,线下,Female,35-39,Weekday,T恤,1,79.0,1,1,49
98,成都,线下,Male,30-34,Weekday,T恤,1,198.0,1,2,49
312,杭州,线下,Male,25-29,Weekend,当季新品,1,73.0,1,1,59
480,重庆,线下,Female,25-29,Weekday,T恤,1,99.0,1,1,49
280,深圳,线下,Female,40-44,Weekend,当季新品,2,150.0,2,2,59
255,杭州,线下,Female,20-24,Weekday,袜子,1,79.0,1,1,9
182,广州,线上,Female,55-59,Weekday,当季新品,1,199.0,1,1,59
98,成都,线下,Female,35-39,Weekday,T恤,2,78.0,2,2,49
336,西安,线下,Female,35-39,Weekday,牛仔裤,1,39.0,1,1,69
369,广州,线下,Female,40-44,Weekend,袜子,1,79.0,1,1,9
229,深圳,线下,Male,35-39,Weekend,T恤,1,79.0,1,1,49
245,杭州,线下,Female,30-34,Weekday,T恤,1,58.27,1,1,49
575,杭州,线下,Female,35-39,Weekend,T恤,1,59.0,1,1,49
231,广州,线下,Female,30-34,Weekend,短裤,1,33.0,1,1,19
442,西安,线下,Male,35-39,Weekend,T恤,1,99.0,1,1,49
245,杭州,线下,Female,30-34,Weekday,当季新品,1,79.0,1,1,59
148,深圳,线下,Female,25-29,Weekend,T恤,1,99.0,1,1,49
91,武汉,线上,Female,35-39,Weekday,T恤,2,198.0,2,2,49
231,广州,线下,Female,40-44,Weekday,袜子,2,138.0,2,2,9
669,重庆,线下,Male,20-24,Weekday,短裤,1,40.0,1,1,19
20,深圳,线下,Male,20-24,Weekday,T恤,1,79.0,1,1,49
375,广州,线上,Female,35-39,Weekend,裙子,1,149.0,1,1,59
575,杭州,线下,Female,35-39,Weekday,T恤,3,215.0,3,5,49
335,上海,线下,Male,30-34,Weekday,T恤,1,198.0,1,2,49
19,南京,线下,Female,30-34,Weekday,T恤,1,96.0,1,1,49
496,上海,线下,Female,25-29,Weekday,当季新品,2,108.0,2,2,59
208,重庆,线下,Female,30-34,Weekday,当季新品,8,1791.0,8,9,59
315,武汉,线下,Female,20-24,Weekend,T恤,2,78.0,2,2,49
480,重庆,线下,Female,40-44,Weekday,T恤,2,78.0,2,2,49
519,杭州,线下,Male,40-44,Weekday,运动,1,39.0,1,1,49
137,西安,线上,Male,>=60,Weekend,短裤,2,139.0,2,4,19
449,武汉,线下,Male,25-29,Weekday,T恤,1,99.0,1,1,49
256,武汉,线下,Male,20-24,Weekday,T恤,1,99.0,1,1,49
360,成都,线下,Female,40-44,Weekday,运动,1,79.0,1,1,49
19,南京,线下,Female,30-34,Weekday,裙子,2,198.0,2,2,59
168,武汉,线下,Male,25-29,Weekday,T恤,1,79.0,1,1,49
430,成都,线下,Female,35-39,Weekday,当季新品,1,46.0,1,1,59
496,上海,线下,Female,25-29,Weekday,袜子,2,85.0,2,4,9
430,成都,线下,Male,>=60,Weekend,运动,1,39.0,1,1,49
796,深圳,线下,Female,30-34,Weekend,T恤,2,158.0,2,2,49
20,深圳,线下,Female,25-29,Weekday,毛衣,2,398.0,2,2,99
759,重庆,线下,Female,25-29,Weekend,当季新品,1,59.0,1,1,59
648,西安,线下,Female,25-29,Weekday,袜子,1,19.0,1,1,9
437,重庆,线下,Male,25-29,Weekday,T恤,1,76.0,1,1,49
168,武汉,线下,Female,40-44,Weekday,袜子,1,26.0,1,1,9
245,杭州,线下,Female,55-59,Weekday,运动,1,33.0,1,1,49
19,南京,线下,Female,40-44,Weekend,T恤,1,198.0,1,2,49
32,武汉,线上,Male,25-29,Weekday,袜子,2,47.0,2,2,9
605,成都,线下,Female,45-49,Weekday,配件,1,79.0,1,1,29
148,深圳,线下,Female,30-34,Weekday,当季新品,2,111.0,2,2,59
737,深圳,线下,Female,40-44,Weekend,短裤,1,79.0,1,1,19
207,上海,线上,Female,20-24,Weekday,T恤,1,79.0,1,1,49
738,深圳,线下,Female,30-34,Weekend,配件,1,79.0,1,1,29
669,重庆,线下,Female,30-34,Weekend,袜子,2,38.0,2,2,9
360,成都,线下,Female,40-44,Weekday,毛衣,1,199.0,1,1,99
182,广州,线上,Female,30-34,Weekday,袜子,1,39.0,1,1,9
70,深圳,线下,Female,35-39,Weekend,运动,1,39.0,1,1,49
135,上海,线下,Male,20-24,Weekday,T恤,1,198.0,1,2,49
437,重庆,线下,Female,25-29,Weekday,牛仔裤,8,1392.0,8,8,69
758,杭州,线下,Female,50-54,Weekend,当季新品,1,199.0,1,1,59
248,杭州,线下,Female,25-29,Weekday,牛仔裤,1,39.0,1,1,69
21,北京,线下,Male,20-24,Weekday,T恤,1,55.33,1,1,49
135,上海,线下,Female,25-29,Weekend,T恤,1,59.0,1,1,49
229,深圳,线下,Female,50-54,Weekday,配件,1,149.0,1,1,29
135,上海,线下,Female,25-29,Weekend,T恤,7,628.0,7,8,49
449,武汉,线下,Female,55-59,Weekend,T恤,1,79.0,1,1,49
280,深圳,线下,Female,35-39,Weekday,T恤,2,298.0,2,2,49
182,广州,线上,Female,20-24,Weekend,T恤,1,79.0,1,1,49
245,杭州,线下,Female,20-24,Weekday,T恤,1,158.0,1,2,49
208,重庆,线下,Male,35-39,Weekday,T恤,1,99.0,1,1,49
519,杭州,线下,Female,25-29,Weekend,T恤,1,99.0,1,1,49
231,广州,线下,Female,25-29,Weekday,裙子,4,257.0,4,4,59
255,杭州,线下,Female,25-29,Weekday,T恤,1,59.0,1,1,49
248,杭州,线下,Female,<20,Weekend,T恤,1,79.0,1,1,49
605,成都,线下,Female,30-34,Weekend,运动,2,99.0,2,3,49
520,杭州,线下,Male,25-29,Weekday,运动,2,66.0,2,2,49
91,武汉,线上,Female,20-24,Weekend,运动,2,98.0,2,2,49
52,武汉,线上,Female,25-29,Weekday,当季新品,6,1552.4,6,9,59
255,杭州,线下,Female,20-24,Weekday,裙子,2,338.0,2,2,59
520,杭州,线下,Female,35-39,Weekend,裙子,2,348.0,2,2,59
480,重庆,线下,Female,25-29,Weekend,配件,1,199.0,1,1,29
323,武汉,线下,Male,>=60,Weekend,T恤,1,59.0,1,1,49
280,深圳,线下,Male,35-39,Weekend,运动,1,99.0,1,1,49
207,上海,线上,Female,>=60,Weekday,配件,1,99.0,1,1,29
312,杭州,线下,Male,25-29,Weekday,T恤,1,79.0,1,1,49
20,深圳,线下,Female,30-34,Weekday,T恤,1,79.0,1,1,49
325,上海,线下,Female,>=60,Weekend,运动,1,39.0,1,1,49
21,北京,线下,Female,35-39,Weekend,牛仔裤,1,199.0,1,1,69
360,成都,线下,Female,20-24,Weekend,T恤,1,198.0,1,2,49
142,上海,线下,Female,45-49,Weekend,T恤,3,217.0,3,3,49
148,深圳,线下,Female,30-34,Weekday,当季新品,1,38.0,1,1,59
20,深圳,线下,Female,35-39,Weekday,T恤,1,59.0,1,1,49
21,北京,线下,Female,30-34,Weekday,当季新品,3,123.0,3,3,59
21,北京,线下,Male,35-39,Weekend,运动,1,99.0,1,3,49
429,西安,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
142,上海,线下,Male,35-39,Weekend,T恤,1,59.0,1,1,49
737,深圳,线下,Male,30-34,Weekday,当季新品,1,79.0,1,1,59
430,成都,线下,Female,<20,Weekday,T恤,1,79.0,1,1,49
137,西安,线上,Male,25-29,Weekend,T恤,1,79.0,1,1,49
50,武汉,线上,Female,25-29,Weekend,当季新品,1,56.0,1,1,59
168,武汉,线下,Male,20-24,Weekend,T恤,3,495.0,4,5,49
369,广州,线下,Female,35-39,Weekend,运动,1,39.0,1,1,49
91,武汉,线上,Male,30-34,Weekday,袜子,1,26.0,1,1,9
21,北京,线下,Male,25-29,Weekday,T恤,1,59.0,1,1,49
231,广州,线下,Female,35-39,Weekday,当季新品,5,877.0,5,5,59
146,杭州,线下,Female,45-49,Weekend,当季新品,2,134.0,2,2,59
611,深圳,线下,Male,45-49,Weekday,毛衣,1,149.0,1,1,99
21,北京,线下,Female,30-34,Weekday,当季新品,4,792.4,4,4,59
449,武汉,线下,Female,25-29,Weekday,T恤,1,79.0,1,1,49
796,深圳,线下,Female,40-44,Weekday,牛仔裤,1,39.0,1,1,69
70,深圳,线下,Female,25-29,Weekend,裙子,2,398.0,2,2,59
91,武汉,线上,Female,25-29,Weekday,袜子,1,19.0,1,1,9
312,杭州,线下,Female,35-39,Weekday,裙子,1,199.0,1,1,59
207,上海,线上,Female,45-49,Weekday,当季新品,1,19.0,1,1,59
737,深圳,线下,Female,35-39,Weekday,T恤,3,457.0,3,3,49
437,重庆,线下,Female,40-44,Weekend,T恤,1,79.0,1,1,49
135,上海,线下,Female,45-49,Weekend,袜子,1,39.0,1,1,9
208,重庆,线下,Male,35-39,Weekend,T恤,1,59.0,1,1,49
649,杭州,线下,Male,35-39,Weekend,袜子,1,26.0,1,1,9
480,重庆,线下,Female,25-29,Weekend,裙子,1,199.0,1,1,59
315,武汉,线下,Female,30-34,Weekday,T恤,1,79.0,1,1,49
336,西安,线下,Female,50-54,Weekday,T恤,1,79.0,1,1,49
315,武汉,线下,Male,30-34,Weekday,牛仔裤,1,298.0,1,2,69
480,重庆,线下,Female,35-39,Weekday,牛仔裤,1,199.0,1,1,69
429,西安,线下,Female,45-49,Weekday,T恤,1,79.0,1,1,49
312,杭州,线下,Female,30-34,Weekday,运动,1,39.0,1,1,49
369,广州,线下,Female,40-44,Weekday,当季新品,1,143.0,1,1,59
32,武汉,线上,Female,<20,Weekend,裙子,1,199.0,1,1,59
360,成都,线下,Female,30-34,Weekend,短裤,1,39.0,1,1,19
207,上海,线上,Male,35-39,Weekend,T恤,1,149.0,1,1,49
520,杭州,线下,Male,50-54,Weekday,T恤,1,79.0,1,1,49
46,武汉,线下,Male,30-34,Weekday,T恤,1,79.0,1,1,49
479,深圳,线下,Female,>=60,Weekend,裙子,1,99.0,1,1,59
831,杭州,线下,Female,20-24,Weekend,毛衣,1,149.0,1,1,99
429,西安,线下,Male,20-24,Weekend,牛仔裤,1,39.0,1,1,69
20,深圳,线下,Female,30-34,Weekday,牛仔裤,5,785.23,5,5,69
796,深圳,线下,Female,55-59,Weekend,运动,1,99.0,1,1,49
207,上海,线上,Female,35-39,Weekend,牛仔裤,2,348.0,2,2,69
142,上海,线下,Female,45-49,Weekday,T恤,1,99.0,1,1,49
70,深圳,线下,Male,>=60,Weekend,配件,3,447.0,3,3,29
430,成都,线下,Female,30-34,Weekend,T恤,1,59.0,1,1,49
325,上海,线下,Female,55-59,Weekend,配件,1,79.0,1,1,29
182,广州,线上,Female,30-34,Weekday,T恤,1,99.0,1,1,49
479,深圳,线下,Female,30-34,Weekend,短裤,1,39.0,1,1,19
207,上海,线上,Male,>=60,Weekend,裙子,2,198.0,2,2,59
420,广州,线上,Female,35-39,Weekday,运动,1,32.0,1,1,49
831,杭州,线下,Male,>=60,Weekday,短裤,1,40.0,1,1,19
520,杭州,线下,Female,40-44,Weekday,T恤,1,99.0,1,1,49
21,北京,线下,Female,25-29,Weekend,T恤,6,613.0,6,7,49
420,广州,线上,Female,40-44,Weekday,T恤,2,158.0,2,2,49
759,重庆,线下,Female,40-44,Weekday,毛衣,2,447.0,2,3,99
98,成都,线下,Male,40-44,Weekday,T恤,1,99.0,1,1,49
21,北京,线下,Female,35-39,Weekend,配件,17,1816.0,18,24,29
168,武汉,线下,Female,35-39,Weekday,T恤,1,39.0,1,1,49
46,武汉,线下,Female,30-34,Weekday,T恤,4,396.0,4,4,49
802,西安,线下,Female,20-24,Weekday,配件,1,99.0,1,1,29
135,上海,线下,Male,40-44,Weekend,T恤,1,79.0,1,1,49
360,成都,线下,Male,25-29,Weekday,袜子,1,26.0,1,1,9
369,广州,线下,Female,35-39,Weekend,短裤,1,33.0,1,1,19
648,西安,线下,Unkown,Unkown,Weekend,T恤,1,79.0,1,1,49
437,重庆,线下,Female,40-44,Weekend,运动,1,39.0,1,1,49
32,武汉,线上,Female,25-29,Weekday,T恤,2,158.0,2,2,49
229,深圳,线下,Male,>=60,Weekday,T恤,1,39.0,1,1,49
479,深圳,线下,Female,30-34,Weekday,T恤,2,138.0,2,2,49
19,南京,线下,Female,55-59,Weekend,袜子,1,79.0,1,3,9
479,深圳,线下,Female,35-39,Weekday,牛仔裤,1,39.0,1,1,69
46,武汉,线下,Female,50-54,Weekday,当季新品,3,196.0,3,3,59
336,西安,线下,Male,20-24,Weekday,袜子,2,99.0,2,4,9
437,重庆,线下,Male,>=60,Weekend,T恤,1,99.0,1,1,49
142,上海,线下,Female,50-54,Weekday,T恤,1,297.0,3,3,49
496,上海,线下,Female,30-34,Weekday,T恤,1,99.0,1,1,49
648,西安,线下,Female,40-44,Weekend,当季新品,1,19.0,1,1,59
480,重庆,线下,Female,30-34,Weekday,毛衣,3,397.0,3,3,99
46,武汉,线下,Female,35-39,Weekday,T恤,2,117.0,2,2,49
